compound,node_id,original_name,primary_flavor,flavor_strength,salt,fat,acid,heat,umami,sweet,bitter,aromatic
hexyl_isobutyrate,7705,Hexyl_isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5-ethyl-2(5h)-furanone,7706,5-Ethyl-2(5H)-furanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,2,6-trimethylcyclohexanone",7707,"2,2,6-Trimethylcyclohexanone",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_4-methylvalerate,7708,Methyl_4-methylvalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3,6-trimethylphenol",7709,"2,3,6-Trimethylphenol",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"9-octadecenal,_(9e)-",7710,"9-Octadecenal,_(9E)-",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-terpineol,8689,alpha-Terpineol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1-octen-3-yl_acetate,7712,1-Octen-3-yl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylbutyl_2-methylbutyrate,7713,2-METHYLBUTYL_2-METHYLBUTYRATE,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_butyrate,7714,Hexyl_Butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-2-cyclopenten-1-one,7715,3-Methyl-2-Cyclopenten-1-One,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pentadecanal,7716,Pentadecanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methoxy-4-propylphenol,7717,2-Methoxy-4-Propylphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3-thujene,7718,3-Thujene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methoxypyrazine,7719,2-Methoxypyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyltetrahydrofuran-3-one,7720,2-Methyltetrahydrofuran-3-One,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethylfuran,7721,2-Ethylfuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-(methylthio)propionaldehyde,7722,3-(Methylthio)propionaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ethyl_cyclohexanecarboxylate,7723,Ethyl_cyclohexanecarboxylate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
delta-nonalactone,7724,Delta-Nonalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
sabinene,7725,Sabinene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-octen-3-ol,7726,1-Octen-3-Ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,5,5-trimethylhexan-1-ol",7727,"3,5,5-Trimethylhexan-1-ol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
phenoxyacetic_acid,7728,Phenoxyacetic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3658-77-3,7729,3658-77-3,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dimethyl_trisulfide,7730,Dimethyl_trisulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-pentylfuran,7731,2-Pentylfuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-heptylfuran,7732,2-Heptylfuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,1-diethoxy-3-methylbutane",7733,"1,1-Diethoxy-3-Methylbutane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3-hexanedione",7734,"2,3-Hexanedione",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_propyl_sulfide,7735,Methyl_propyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octan-2-ol,7736,Octan-2-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
difurfuryl_disulfide,7737,Difurfuryl_Disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-butylfuran,7738,2-Butylfuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylhexanoic_acid,7739,2-Methylhexanoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6-methylhept-5-en-2-ol,7740,6-Methylhept-5-en-2-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_cyclohexanecarboxylate,7741,Methyl_cyclohexanecarboxylate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4674-50-4,7742,4674-50-4,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
disodium_5'-inosinate,7743,Disodium_5'-inosinate,salt,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4-ethylbenzaldehyde,7744,4-Ethylbenzaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1-hexen-3-ol,7745,1-Hexen-3-Ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-pentylthiophene,7746,2-Pentylthiophene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1-hepten-3-ol,7747,1-Hepten-3-Ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
8-nonen-2-one,7748,8-Nonen-2-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_heptanoate,7749,Butyl_Heptanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-(4-hydroxyphenyl)-2-butanone,7750,4-(4-Hydroxyphenyl)-2-butanone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5550-12-9,7751,5550-12-9,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2-methyl-1,3-dithiolane",7752,"2-Methyl-1,3-dithiolane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3-dimethylpyrazine",7753,"2,3-Dimethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
d-dihydrocarvone,7754,d-Dihydrocarvone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
epoxylinalool,7755,Epoxylinalool,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dipentene,7756,Dipentene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dipropyl_trisulfide,7757,Dipropyl_trisulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-pentanol,7758,2-Pentanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-dodecanone,7759,2-Dodecanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_hexanoate,7760,Hexyl_Hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_benzoate,7761,Hexyl_benzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methoxybenzenethiol,7762,2-Methoxybenzenethiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_2-methylbutyrate,7763,Ethyl_2-methylbutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
acetyl_isobutyryl,7764,Acetyl_isobutyryl,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diethyl_malate,7765,Diethyl_Malate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
silica,7766,Silica,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_anthranilate,7767,Butyl_Anthranilate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
potassium_nitrate,7768,Potassium_Nitrate,salt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dihydrocarvone,7769,Dihydrocarvone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
calcium_iodate,7770,Calcium_Iodate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-ethoxybenzaldehyde,7771,4-Ethoxybenzaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hexyl_2-methylbutanoate,7772,Hexyl_2-methylbutanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
l-rhamnose,7773,L-Rhamnose,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tridecanal,7774,Tridecanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-3-heptanone,7775,2-Methyl-3-Heptanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethyl-5-methylpyrazine,7776,2-Ethyl-5-Methylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3-ethyl-2,5-dimethylpyrazine",7777,"3-Ethyl-2,5-dimethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-carene,7778,3-Carene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,2,4,6,6-pentamethylheptane",7779,"2,2,4,6,6-Pentamethylheptane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"5-methylhexane-2,3-dione",7780,"5-Methylhexane-2,3-dione",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethylpyrazine,7781,2-Ethylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethyl-6-methylpyrazine,7782,2-Ethyl-6-Methylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-isobutyl-3-methylpyrazine,7783,2-Isobutyl-3-Methylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2-ethyl-3,5-dimethylpyrazine",7784,"2-Ethyl-3,5-Dimethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-5-vinylpyrazine,7785,2-Methyl-5-Vinylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
menthone,7786,Menthone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3,5-trimethylpyrazine",7787,"2,3,5-Trimethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
beta-bisabolol,7788,beta-Bisabolol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"4,4,7a-trimethyl-5,6,7,7a-tetrahydrobenzofuran-2(4h)-one",7789,"4,4,7a-Trimethyl-5,6,7,7a-tetrahydrobenzofuran-2(4H)-one",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethyl-4-methylthiazole,7790,2-Ethyl-4-Methylthiazole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethyl-3-methylpyrazine,7791,2-Ethyl-3-Methylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3-diethylpyrazine",7792,"2,3-Diethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"5-ethyl-2,3-dimethylpyrazine",7793,"5-Ethyl-2,3-dimethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rose_oxide,7794,Rose_oxide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
menthyl_acetate,7795,Menthyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3-diethyl-5-methylpyrazine",7796,"2,3-Diethyl-5-Methylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,5-diethyl-2-methylpyrazine",7797,"3,5-Diethyl-2-Methylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-fenchene,7798,alpha-Fenchene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"2,4,5-trimethyloxazole",7799,"2,4,5-Trimethyloxazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dihydrocarvyl_acetate,7800,Dihydrocarvyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
acetylpyrazine,7801,Acetylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
122-40-7,7802,122-40-7,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
vanillylacetone,7803,Vanillylacetone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzyl_propionate,7804,Benzyl_Propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-phenylethyl_propionate,7805,2-Phenylethyl_propionate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3-phenylpropyl_acetate,7806,3-Phenylpropyl_acetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-methoxyphenylacetone,7807,4-Methoxyphenylacetone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3-phenylpropan-1-ol,7808,3-Phenylpropan-1-ol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-ethylphenol,7809,4-Ethylphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-methoxybenzaldehyde,7810,4-Methoxybenzaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2-methylpentanal,7811,2-Methylpentanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-heptanone,7812,4-Heptanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diethyl_succinate,7813,Diethyl_Succinate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_nonanoate,7814,Ethyl_Nonanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,5-dimethylpyrazine",7815,"2,5-Dimethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
myrcene,7816,Myrcene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-1-butanol,7817,3-Methyl-1-butanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_caproate,7818,Ethyl_caproate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
allyl_hexanoate,7819,Allyl_hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pyrrolidine,7820,Pyrrolidine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_acetate,7821,Butyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isoamyl_acetate,7822,Isoamyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_stearate,7823,Butyl_Stearate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_tetradecanoate,7824,Ethyl_tetradecanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_tetradecanoate,7825,Methyl_tetradecanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nonanal,7826,Nonanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tetradecanal,7827,Tetradecanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
linalyl_benzoate,7828,Linalyl_benzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6-di-tert-butyl-4-methylphenol",7829,"2,6-Di-tert-butyl-4-methylphenol",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nopol,7830,Nopol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,4,5-trimethyl-3-oxazoline",7831,"2,4,5-Trimethyl-3-Oxazoline",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,5-dimethyl-1,2,4-trithiolane",7832,"3,5-Dimethyl-1,2,4-Trithiolane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
23747-48-0,7833,23747-48-0,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-acetyl-3-methylpyrazine,7834,2-Acetyl-3-Methylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-isobutyl-3-methoxypyrazine,7835,2-Isobutyl-3-Methoxypyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
l-glutamic_acid,7836,L-glutamic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2-ethyl-3-methoxypyrazine,7837,2-Ethyl-3-Methoxypyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-isopropyl-3-methoxypyrazine,7838,2-Isopropyl-3-Methoxypyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethyl-4-hydroxy-5-methyl-3(2h)-furanone,7839,2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diisooctyl_phthalate,7840,Diisooctyl_phthalate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6-pentyl-2h-pyran-2-one,7841,6-Pentyl-2H-pyran-2-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6-nonadien-1-ol",7842,"2,6-Nonadien-1-ol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-3-furanthiol,7843,2-Methyl-3-furanthiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopulegone,7844,Isopulegone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_propyl_disulfide,7845,Ethyl_Propyl_Disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dihydro-alpha-ionone,7846,Dihydro-alpha-ionone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"2,5-diethyl-3-methylpyrazine",7847,"2,5-Diethyl-3-Methylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"5,6,7,8-tetrahydroquinoxaline",7848,"5,6,7,8-Tetrahydroquinoxaline",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,6-nonadien-1-ol",7849,"3,6-Nonadien-1-ol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-pentyl_butyrate,7850,2-Pentyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
bornyl_isovalerate,7851,Bornyl_Isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_4-methoxybenzoate,7852,Ethyl_4-methoxybenzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3-heptanedione",7853,"2,3-Heptanedione",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"(2,2-dimethoxyethyl)benzene",7854,"(2,2-Dimethoxyethyl)benzene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_phenylacetate,7855,Isobutyl_phenylacetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-(4-methoxyphenyl)-2-butanone,7856,4-(4-Methoxyphenyl)-2-butanone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
butyl_laurate,7857,Butyl_laurate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6-dimethyl-5-heptenal",7858,"2,6-Dimethyl-5-heptenal",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-2-butenal,7859,3-Methyl-2-butenal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octyl_isobutyrate,7860,Octyl_isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octyl_butyrate,7861,Octyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylundecanal,7862,2-Methylundecanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
linalyl_formate,7863,Linalyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
safranal,7864,Safranal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_benzoate,7865,Isobutyl_benzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-phenylpropyl_propionate,7866,3-Phenylpropyl_propionate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-methoxybenzyl_formate,7867,4-Methoxybenzyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octyl_propionate,7868,Octyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
linalyl_propionate,7869,Linalyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6,6-trimethyl-1-cyclohexene-1-acetaldehyde",7870,"2,6,6-Trimethyl-1-cyclohexene-1-acetaldehyde",aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
beta-caryophyllene_alcohol,7871,beta-Caryophyllene_alcohol,aromatic,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
verbenol,8690,Verbenol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
myrtenal,7873,Myrtenal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzyl_butyl_ether,7874,Benzyl_butyl_ether,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylpropyl_but-2-enoate,7875,2-methylpropyl_but-2-enoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_pentanoate,7876,Butyl_pentanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_2-methoxybenzoate,7877,Methyl_2-methoxybenzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methoxystyrene,7878,2-Methoxystyrene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methoxyphenyl_acetate,7879,2-Methoxyphenyl_acetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
furfuryl_propionate,7880,Furfuryl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-ethyl_ethanethioate,7881,S-Ethyl_ethanethioate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_formate,7882,Hexyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_butyrate,7883,Isopropyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
amyl_octanoate,7884,Amyl_octanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
698-10-2,7885,698-10-2,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-phenyl-2-pentanol,7886,1-Phenyl-2-pentanol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
delta-undecalactone,7887,delta-Undecalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
farnesylacetone,7888,Farnesylacetone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3-methylcyclopentane-1,2-dione",7889,"3-Methylcyclopentane-1,2-dione",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-nonanone,7890,3-Nonanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-acetyl-1-methylpyrrole,7891,2-Acetyl-1-methylpyrrole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tetrahydrothiophen-3-one,7892,Tetrahydrothiophen-3-one,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2-propionylpyrrole,7893,2-Propionylpyrrole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-(methylthio)phenol,7894,2-(Methylthio)phenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
myrtenyl_acetate,7895,Myrtenyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nerol_oxide,7896,Nerol_oxide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_citronellate,7897,Methyl_citronellate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_3-hydroxyhexanoate,7898,Ethyl_3-hydroxyhexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-propyl_thioacetate,7899,S-Propyl_thioacetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-pentadecanone,7900,2-Pentadecanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
heptyl_2-methylpropanoate,7901,Heptyl_2-methylpropanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4077-47-8,7902,4077-47-8,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4166-20-5,7903,4166-20-5,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-octen-3-one,7904,1-Octen-3-One,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butylphthalide,7905,Butylphthalide,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
d-piperitone,7906,d-Piperitone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-phenylethyl_hexanoate,7907,2-Phenylethyl_hexanoate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
isoamyl_laurate,7908,Isoamyl_laurate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
