node_id,name,id,node_type,is_hub,cleaned_name
251,baby_potato,,ingredient,no_hub,baby_potato
252,baby_red_potato,,ingredient,no_hub,baby_red_potato
253,baby_rocket,,ingredient,no_hub,baby_rocket
254,baby_shrimp,,ingredient,no_hub,baby_shrimp
255,baby_spinach,,ingredient,no_hub,baby_spinach
256,baby_spinach_leaf,,ingredient,no_hub,baby_spinach_leaf
257,baby_sweet_corn_cob,,ingredient,no_hub,baby_sweet_corn_cob
258,baby_swiss_cheese,,ingredient,no_hub,baby_swiss_cheese
259,baby_tomato,,ingredient,no_hub,baby_tomato
260,baby_turnip,,ingredient,no_hub,baby_turnip
262,bacardi_dark_rum,,ingredient,no_hub,bacardi_dark_rum
263,bacardi_light_rum,,ingredient,no_hub,bacardi_light_rum
264,bacardi_limon,,ingredient,no_hub,bacardi_limon
265,back_bacon,,ingredient,no_hub,back_bacon
266,backfin_crab_meat,,ingredient,no_hub,backfin_crab
267,bacon,,ingredient,no_hub,bacon
268,bacon_bit,,ingredient,no_hub,bacon_bit
269,bacon_dripping,,ingredient,no_hub,bacon_dripping
270,bacon_fat,,ingredient,no_hub,bacon_fat
271,bacon_grease,,ingredient,no_hub,bacon_grease
272,bacon_piece,,ingredient,no_hub,bacon_piece
273,bagel,,ingredient,hub,bagel
274,bagel_chip,,ingredient,no_hub,bagel_chip
275,baguette,,ingredient,no_hub,baguette
276,baharat,,ingredient,no_hub,baharat
277,baileys_irish_cream,,ingredient,no_hub,baileys_irish_cream
279,baked_bean,,ingredient,no_hub,baked_bean
280,baked_beans_in_tomato_sauce,,ingredient,no_hub,baked_beans_in_tomato
281,baked_corn_tortilla_chip,,ingredient,no_hub,baked_corn_tortilla_chip
282,baked_tofu,,ingredient,no_hub,baked_tofu
283,baker's_semi_sweet_baking_chocolate,,ingredient,no_hub,baker_s_semi_sweet_baking_chocolate
284,baker's_unsweetened_chocolate_square,,ingredient,no_hub,baker_s_unsweetened_chocolate_square
285,baking_apple,,ingredient,no_hub,baking_apple
286,baking_chocolate,,ingredient,no_hub,baking_chocolate
287,baking_chocolate_square,,ingredient,no_hub,baking_chocolate_square
288,baking_cocoa,,ingredient,no_hub,baking_cocoa
289,baking_hen,,ingredient,no_hub,baking_hen
290,baking_mix,,ingredient,no_hub,baking
291,baking_potato,,ingredient,no_hub,baking_potato
292,baking_powder,,ingredient,no_hub,baking
294,baking_soda,,ingredient,no_hub,baking_soda
295,balsamic_dressing,,ingredient,no_hub,balsamic
296,balsamic_glaze,,ingredient,no_hub,balsamic_glaze
298,balsamic_vinaigrette,,ingredient,no_hub,balsamic_vinaigrette
299,balsamic_vinegar,,ingredient,no_hub,balsamic_vinegar
300,bamboo_shoot,,ingredient,hub,bamboo_shoot
301,bamboo_skewer,,ingredient,no_hub,bamboo_skewer
302,banana,,ingredient,hub,banana
303,banana_bread,,ingredient,no_hub,banana_bread
304,banana_cake_mix,,ingredient,no_hub,banana_cake
305,banana_chip,,ingredient,no_hub,banana_chip
306,banana_cream_instant_pudding,,ingredient,no_hub,banana_cream_instant_pudding
307,banana_extract,,ingredient,no_hub,banana
308,banana_flavoring,,ingredient,no_hub,banana_flavoring
309,banana_instant_pudding,,ingredient,no_hub,banana_instant_pudding
310,banana_leaf,,ingredient,no_hub,banana_leaf
311,banana_liqueur,,ingredient,no_hub,banana_liqueur
312,banana_pepper,,ingredient,no_hub,banana_pepper
